 X,Y,I,J,PERIOD
   737541.,  5081345.,  1,  1,      2.175E-03
   737541.,  5081395.,  1,  2,      2.721E-03
   737541.,  5081445.,  1,  3,      3.057E-03
   737541.,  5081495.,  1,  4,      3.273E-03
   737541.,  5081545.,  1,  5,      3.424E-03
   737541.,  5081595.,  1,  6,      3.534E-03
   737541.,  5081645.,  1,  7,      3.626E-03
   737541.,  5081695.,  1,  8,      3.696E-03
   737541.,  5081745.,  1,  9,      3.735E-03
   737541.,  5081795.,  1, 10,      3.764E-03
   737541.,  5081845.,  1, 11,      3.796E-03
   737541.,  5081895.,  1, 12,      3.835E-03
   737541.,  5081945.,  1, 13,      3.855E-03
   737541.,  5081995.,  1, 14,      3.824E-03
   737541.,  5082045.,  1, 15,      3.745E-03
   737541.,  5082095.,  1, 16,      3.631E-03
   737541.,  5082145.,  1, 17,      3.490E-03
   737541.,  5082195.,  1, 18,      3.373E-03
   737541.,  5082245.,  1, 19,      3.322E-03
   737541.,  5082295.,  1, 20,      3.338E-03
   737541.,  5082345.,  1, 21,      3.391E-03
   737541.,  5082395.,  1, 22,      3.437E-03
   737541.,  5082445.,  1, 23,      3.441E-03
   737541.,  5082495.,  1, 24,      3.399E-03
   737541.,  5082545.,  1, 25,      3.320E-03
   737541.,  5082595.,  1, 26,      3.232E-03
   737541.,  5082645.,  1, 27,      3.164E-03
   737541.,  5082695.,  1, 28,      3.113E-03
   737541.,  5082745.,  1, 29,      3.044E-03
   737541.,  5082795.,  1, 30,      2.944E-03
   737541.,  5082845.,  1, 31,      2.814E-03
   737541.,  5082895.,  1, 32,      2.655E-03
   737541.,  5082945.,  1, 33,      2.472E-03
   737541.,  5082995.,  1, 34,      2.285E-03
   737541.,  5083045.,  1, 35,      2.106E-03
   737541.,  5083095.,  1, 36,      1.950E-03
   737541.,  5083145.,  1, 37,      1.826E-03
   737541.,  5083195.,  1, 38,      1.734E-03
   737541.,  5083245.,  1, 39,      1.686E-03
   737541.,  5083295.,  1, 40,      1.675E-03
   737541.,  5083345.,  1, 41,      1.688E-03
   737541.,  5083395.,  1, 42,      1.720E-03
   737541.,  5083445.,  1, 43,      1.761E-03
   737541.,  5083495.,  1, 44,      1.781E-03
   737541.,  5083545.,  1, 45,      1.760E-03
   737541.,  5083595.,  1, 46,      1.700E-03
   737541.,  5083645.,  1, 47,      1.621E-03
   737541.,  5083695.,  1, 48,      1.550E-03
   737541.,  5083745.,  1, 49,      1.491E-03
   737541.,  5083795.,  1, 50,      1.427E-03
   737541.,  5083845.,  1, 51,      1.351E-03
   737541.,  5083895.,  1, 52,      1.290E-03
   737541.,  5083945.,  1, 53,      1.260E-03
   737541.,  5083995.,  1, 54,      1.248E-03
   737541.,  5084045.,  1, 55,      1.231E-03
   737541.,  5084095.,  1, 56,      1.210E-03
   737541.,  5084145.,  1, 57,      1.184E-03
   737541.,  5084195.,  1, 58,      1.141E-03
   737541.,  5084245.,  1, 59,      1.067E-03
   737541.,  5084295.,  1, 60,      9.990E-04
   737541.,  5084345.,  1, 61,      9.510E-04
   737541.,  5084395.,  1, 62,      9.182E-04
   737541.,  5084445.,  1, 63,      8.861E-04
   737541.,  5084495.,  1, 64,      8.462E-04
   737541.,  5084545.,  1, 65,      8.018E-04
   737541.,  5084595.,  1, 66,      7.627E-04
   737541.,  5084645.,  1, 67,      7.313E-04
   737541.,  5084695.,  1, 68,      7.098E-04
   737541.,  5084745.,  1, 69,      6.967E-04
   737541.,  5084795.,  1, 70,      6.819E-04
   737541.,  5084845.,  1, 71,      6.609E-04
   737541.,  5084895.,  1, 72,      6.397E-04
   737541.,  5084945.,  1, 73,      6.240E-04
   737541.,  5084995.,  1, 74,      6.114E-04
   737541.,  5085045.,  1, 75,      5.855E-04
   737541.,  5085095.,  1, 76,      5.402E-04
   737541.,  5085145.,  1, 77,      4.912E-04
   737541.,  5085195.,  1, 78,      4.508E-04
   737541.,  5085245.,  1, 79,      4.191E-04
   737541.,  5085295.,  1, 80,      3.930E-04
   737541.,  5085345.,  1, 81,      3.702E-04
   737541.,  5085395.,  1, 82,      3.497E-04
   737541.,  5085445.,  1, 83,      3.302E-04
   737541.,  5085495.,  1, 84,      3.090E-04
   737541.,  5085545.,  1, 85,      2.844E-04
