 X,Y,I,J,MAX1H,NSUP1H,EPISODES,DURMAX
   737541.,  5081345.,  1,  1,      1.581E-01,     0,     0,    0.
   737541.,  5081395.,  1,  2,      2.067E-01,     0,     0,    0.
   737541.,  5081445.,  1,  3,      2.342E-01,     0,     0,    0.
   737541.,  5081495.,  1,  4,      2.430E-01,     0,     0,    0.
   737541.,  5081545.,  1,  5,      2.306E-01,     0,     0,    0.
   737541.,  5081595.,  1,  6,      2.804E-01,     0,     0,    0.
   737541.,  5081645.,  1,  7,      2.938E-01,     0,     0,    0.
   737541.,  5081695.,  1,  8,      2.872E-01,     0,     0,    0.
   737541.,  5081745.,  1,  9,      2.527E-01,     0,     0,    0.
   737541.,  5081795.,  1, 10,      2.345E-01,     0,     0,    0.
   737541.,  5081845.,  1, 11,      2.644E-01,     0,     0,    0.
   737541.,  5081895.,  1, 12,      2.615E-01,     0,     0,    0.
   737541.,  5081945.,  1, 13,      3.011E-01,     0,     0,    0.
   737541.,  5081995.,  1, 14,      2.781E-01,     0,     0,    0.
   737541.,  5082045.,  1, 15,      2.825E-01,     0,     0,    0.
   737541.,  5082095.,  1, 16,      2.779E-01,     0,     0,    0.
   737541.,  5082145.,  1, 17,      3.119E-01,     0,     0,    0.
   737541.,  5082195.,  1, 18,      2.680E-01,     0,     0,    0.
   737541.,  5082245.,  1, 19,      2.794E-01,     0,     0,    0.
   737541.,  5082295.,  1, 20,      2.577E-01,     0,     0,    0.
   737541.,  5082345.,  1, 21,      2.421E-01,     0,     0,    0.
   737541.,  5082395.,  1, 22,      3.319E-01,     0,     0,    0.
   737541.,  5082445.,  1, 23,      3.326E-01,     0,     0,    0.
   737541.,  5082495.,  1, 24,      2.825E-01,     0,     0,    0.
   737541.,  5082545.,  1, 25,      2.797E-01,     0,     0,    0.
   737541.,  5082595.,  1, 26,      2.881E-01,     0,     0,    0.
   737541.,  5082645.,  1, 27,      2.927E-01,     0,     0,    0.
   737541.,  5082695.,  1, 28,      3.166E-01,     0,     0,    0.
   737541.,  5082745.,  1, 29,      2.782E-01,     0,     0,    0.
   737541.,  5082795.,  1, 30,      2.860E-01,     0,     0,    0.
   737541.,  5082845.,  1, 31,      3.093E-01,     0,     0,    0.
   737541.,  5082895.,  1, 32,      3.123E-01,     0,     0,    0.
   737541.,  5082945.,  1, 33,      2.949E-01,     0,     0,    0.
   737541.,  5082995.,  1, 34,      2.970E-01,     0,     0,    0.
   737541.,  5083045.,  1, 35,      3.404E-01,     0,     0,    0.
   737541.,  5083095.,  1, 36,      3.350E-01,     0,     0,    0.
   737541.,  5083145.,  1, 37,      2.840E-01,     0,     0,    0.
   737541.,  5083195.,  1, 38,      2.287E-01,     0,     0,    0.
   737541.,  5083245.,  1, 39,      1.766E-01,     0,     0,    0.
   737541.,  5083295.,  1, 40,      2.404E-01,     0,     0,    0.
   737541.,  5083345.,  1, 41,      2.935E-01,     0,     0,    0.
   737541.,  5083395.,  1, 42,      3.195E-01,     0,     0,    0.
   737541.,  5083445.,  1, 43,      3.135E-01,     0,     0,    0.
   737541.,  5083495.,  1, 44,      2.901E-01,     0,     0,    0.
   737541.,  5083545.,  1, 45,      2.659E-01,     0,     0,    0.
   737541.,  5083595.,  1, 46,      2.294E-01,     0,     0,    0.
   737541.,  5083645.,  1, 47,      2.751E-01,     0,     0,    0.
   737541.,  5083695.,  1, 48,      2.829E-01,     0,     0,    0.
   737541.,  5083745.,  1, 49,      2.679E-01,     0,     0,    0.
   737541.,  5083795.,  1, 50,      2.714E-01,     0,     0,    0.
   737541.,  5083845.,  1, 51,      2.763E-01,     0,     0,    0.
   737541.,  5083895.,  1, 52,      2.365E-01,     0,     0,    0.
   737541.,  5083945.,  1, 53,      2.211E-01,     0,     0,    0.
   737541.,  5083995.,  1, 54,      2.383E-01,     0,     0,    0.
   737541.,  5084045.,  1, 55,      2.573E-01,     0,     0,    0.
   737541.,  5084095.,  1, 56,      2.644E-01,     0,     0,    0.
   737541.,  5084145.,  1, 57,      2.730E-01,     0,     0,    0.
   737541.,  5084195.,  1, 58,      2.749E-01,     0,     0,    0.
   737541.,  5084245.,  1, 59,      2.366E-01,     0,     0,    0.
   737541.,  5084295.,  1, 60,      2.106E-01,     0,     0,    0.
   737541.,  5084345.,  1, 61,      2.586E-01,     0,     0,    0.
   737541.,  5084395.,  1, 62,      2.956E-01,     0,     0,    0.
   737541.,  5084445.,  1, 63,      2.722E-01,     0,     0,    0.
   737541.,  5084495.,  1, 64,      2.894E-01,     0,     0,    0.
   737541.,  5084545.,  1, 65,      2.547E-01,     0,     0,    0.
   737541.,  5084595.,  1, 66,      2.471E-01,     0,     0,    0.
   737541.,  5084645.,  1, 67,      2.289E-01,     0,     0,    0.
   737541.,  5084695.,  1, 68,      2.025E-01,     0,     0,    0.
   737541.,  5084745.,  1, 69,      2.042E-01,     0,     0,    0.
   737541.,  5084795.,  1, 70,      2.283E-01,     0,     0,    0.
   737541.,  5084845.,  1, 71,      1.929E-01,     0,     0,    0.
   737541.,  5084895.,  1, 72,      1.725E-01,     0,     0,    0.
   737541.,  5084945.,  1, 73,      1.852E-01,     0,     0,    0.
   737541.,  5084995.,  1, 74,      1.953E-01,     0,     0,    0.
   737541.,  5085045.,  1, 75,      1.766E-01,     0,     0,    0.
   737541.,  5085095.,  1, 76,      1.347E-01,     0,     0,    0.
   737541.,  5085145.,  1, 77,      1.230E-01,     0,     0,    0.
