 X,Y,I,J,PCT1H
   737541.,  5081345.,  1,  1,      3.272E-02
   737541.,  5081395.,  1,  2,      3.937E-02
   737541.,  5081445.,  1,  3,      4.475E-02
   737541.,  5081495.,  1,  4,      4.918E-02
   737541.,  5081545.,  1,  5,      5.170E-02
   737541.,  5081595.,  1,  6,      5.225E-02
   737541.,  5081645.,  1,  7,      5.314E-02
   737541.,  5081695.,  1,  8,      5.509E-02
   737541.,  5081745.,  1,  9,      5.658E-02
   737541.,  5081795.,  1, 10,      5.779E-02
   737541.,  5081845.,  1, 11,      5.805E-02
   737541.,  5081895.,  1, 12,      5.761E-02
   737541.,  5081945.,  1, 13,      5.555E-02
   737541.,  5081995.,  1, 14,      5.461E-02
   737541.,  5082045.,  1, 15,      5.296E-02
   737541.,  5082095.,  1, 16,      5.187E-02
   737541.,  5082145.,  1, 17,      5.006E-02
   737541.,  5082195.,  1, 18,      4.771E-02
   737541.,  5082245.,  1, 19,      4.759E-02
   737541.,  5082295.,  1, 20,      4.697E-02
   737541.,  5082345.,  1, 21,      4.898E-02
   737541.,  5082395.,  1, 22,      4.906E-02
   737541.,  5082445.,  1, 23,      4.790E-02
   737541.,  5082495.,  1, 24,      4.798E-02
   737541.,  5082545.,  1, 25,      4.554E-02
   737541.,  5082595.,  1, 26,      4.435E-02
   737541.,  5082645.,  1, 27,      4.226E-02
   737541.,  5082695.,  1, 28,      4.157E-02
   737541.,  5082745.,  1, 29,      3.967E-02
   737541.,  5082795.,  1, 30,      3.744E-02
   737541.,  5082845.,  1, 31,      3.621E-02
   737541.,  5082895.,  1, 32,      3.460E-02
   737541.,  5082945.,  1, 33,      3.044E-02
   737541.,  5082995.,  1, 34,      2.509E-02
   737541.,  5083045.,  1, 35,      2.425E-02
   737541.,  5083095.,  1, 36,      2.197E-02
   737541.,  5083145.,  1, 37,      1.899E-02
   737541.,  5083195.,  1, 38,      1.854E-02
   737541.,  5083245.,  1, 39,      1.727E-02
   737541.,  5083295.,  1, 40,      1.707E-02
   737541.,  5083345.,  1, 41,      1.652E-02
   737541.,  5083395.,  1, 42,      1.588E-02
   737541.,  5083445.,  1, 43,      1.649E-02
   737541.,  5083495.,  1, 44,      1.574E-02
   737541.,  5083545.,  1, 45,      1.575E-02
   737541.,  5083595.,  1, 46,      1.490E-02
   737541.,  5083645.,  1, 47,      1.466E-02
   737541.,  5083695.,  1, 48,      1.356E-02
   737541.,  5083745.,  1, 49,      1.163E-02
   737541.,  5083795.,  1, 50,      1.079E-02
   737541.,  5083845.,  1, 51,      1.034E-02
   737541.,  5083895.,  1, 52,      9.133E-03
   737541.,  5083945.,  1, 53,      8.650E-03
   737541.,  5083995.,  1, 54,      7.815E-03
   737541.,  5084045.,  1, 55,      7.834E-03
   737541.,  5084095.,  1, 56,      7.473E-03
   737541.,  5084145.,  1, 57,      6.805E-03
   737541.,  5084195.,  1, 58,      6.848E-03
   737541.,  5084245.,  1, 59,      6.328E-03
   737541.,  5084295.,  1, 60,      5.969E-03
   737541.,  5084345.,  1, 61,      5.299E-03
   737541.,  5084395.,  1, 62,      4.959E-03
   737541.,  5084445.,  1, 63,      4.755E-03
   737541.,  5084495.,  1, 64,      4.526E-03
   737541.,  5084545.,  1, 65,      4.236E-03
   737541.,  5084595.,  1, 66,      4.054E-03
   737541.,  5084645.,  1, 67,      3.965E-03
   737541.,  5084695.,  1, 68,      3.766E-03
   737541.,  5084745.,  1, 69,      3.559E-03
   737541.,  5084795.,  1, 70,      3.373E-03
   737541.,  5084845.,  1, 71,      3.165E-03
   737541.,  5084895.,  1, 72,      3.018E-03
   737541.,  5084945.,  1, 73,      2.690E-03
   737541.,  5084995.,  1, 74,      2.556E-03
   737541.,  5085045.,  1, 75,      2.451E-03
   737541.,  5085095.,  1, 76,      2.367E-03
   737541.,  5085145.,  1, 77,      2.202E-03
   737541.,  5085195.,  1, 78,      2.090E-03
   737541.,  5085245.,  1, 79,      1.990E-03
   737541.,  5085295.,  1, 80,      1.888E-03
   737541.,  5085345.,  1, 81,      1.773E-03
   737541.,  5085395.,  1, 82,      1.670E-03
   737541.,  5085445.,  1, 83,      1.563E-03
   737541.,  5085495.,  1, 84,      1.461E-03
   737541.,  5085545.,  1, 85,      1.371E-03
   737541.,  5085595.,  1, 86,      1.316E-03
   737541.,  5085645.,  1, 87,      1.253E-03
   737541.,  5085695.,  1, 88,      1.172E-03
   737541.,  5085745.,  1, 89,      1.111E-03
   737541.,  5085795.,  1, 90,      1.037E-03
   737541.,  5085845.,  1, 91,      9.548E-04
   737541.,  5085895.,  1, 92,      9.008E-04
   737541.,  5085945.,  1, 93,      8.426E-04
   737541.,  5085995.,  1, 94,      7.767E-04
   737541.,  5086045.,  1, 95,      7.395E-04
   737541.,  5086095.,  1, 96,      7.036E-04
   737541.,  5086145.,  1, 97,      6.700E-04
   737541.,  5086195.,  1, 98,      6.287E-04
   737541.,  5086245.,  1, 99,      5.793E-04
   737541.,  5086295.,  1,100,      5.475E-04
   737591.,  5081345.,  2,  1,      4.192E-02
   737591.,  5081395.,  2,  2,      5.337E-02
   737591.,  5081445.,  2,  3,      5.776E-02
   737591.,  5081495.,  2,  4,      6.202E-02
   737591.,  5081545.,  2,  5,      6.604E-02
   737591.,  5081595.,  2,  6,      6.633E-02
   737591.,  5081645.,  2,  7,      6.742E-02
   737591.,  5081695.,  2,  8,      7.096E-02
   737591.,  5081745.,  2,  9,      7.085E-02
   737591.,  5081795.,  2, 10,      7.412E-02
