 X,Y,I,J,PCTD
   737541.,  5081345.,  1,  1,      0.000E+00
   737541.,  5081395.,  1,  2,      0.000E+00
   737541.,  5081445.,  1,  3,      0.000E+00
   737541.,  5081495.,  1,  4,      0.000E+00
   737541.,  5081545.,  1,  5,      0.000E+00
   737541.,  5081595.,  1,  6,      0.000E+00
   737541.,  5081645.,  1,  7,      0.000E+00
   737541.,  5081695.,  1,  8,      0.000E+00
   737541.,  5081745.,  1,  9,      0.000E+00
   737541.,  5081795.,  1, 10,      0.000E+00
   737541.,  5081845.,  1, 11,      0.000E+00
   737541.,  5081895.,  1, 12,      0.000E+00
   737541.,  5081945.,  1, 13,      0.000E+00
   737541.,  5081995.,  1, 14,      0.000E+00
   737541.,  5082045.,  1, 15,      0.000E+00
   737541.,  5082095.,  1, 16,      0.000E+00
   737541.,  5082145.,  1, 17,      0.000E+00
   737541.,  5082195.,  1, 18,      0.000E+00
   737541.,  5082245.,  1, 19,      0.000E+00
   737541.,  5082295.,  1, 20,      0.000E+00
   737541.,  5082345.,  1, 21,      0.000E+00
   737541.,  5082395.,  1, 22,      0.000E+00
   737541.,  5082445.,  1, 23,      0.000E+00
   737541.,  5082495.,  1, 24,      0.000E+00
   737541.,  5082545.,  1, 25,      0.000E+00
   737541.,  5082595.,  1, 26,      0.000E+00
   737541.,  5082645.,  1, 27,      0.000E+00
   737541.,  5082695.,  1, 28,      0.000E+00
   737541.,  5082745.,  1, 29,      0.000E+00
   737541.,  5082795.,  1, 30,      0.000E+00
   737541.,  5082845.,  1, 31,      0.000E+00
   737541.,  5082895.,  1, 32,      0.000E+00
   737541.,  5082945.,  1, 33,      0.000E+00
   737541.,  5082995.,  1, 34,      0.000E+00
   737541.,  5083045.,  1, 35,      0.000E+00
   737541.,  5083095.,  1, 36,      0.000E+00
   737541.,  5083145.,  1, 37,      0.000E+00
   737541.,  5083195.,  1, 38,      0.000E+00
   737541.,  5083245.,  1, 39,      0.000E+00
   737541.,  5083295.,  1, 40,      0.000E+00
   737541.,  5083345.,  1, 41,      0.000E+00
   737541.,  5083395.,  1, 42,      0.000E+00
   737541.,  5083445.,  1, 43,      0.000E+00
   737541.,  5083495.,  1, 44,      0.000E+00
   737541.,  5083545.,  1, 45,      0.000E+00
   737541.,  5083595.,  1, 46,      0.000E+00
   737541.,  5083645.,  1, 47,      0.000E+00
   737541.,  5083695.,  1, 48,      0.000E+00
   737541.,  5083745.,  1, 49,      0.000E+00
   737541.,  5083795.,  1, 50,      0.000E+00
   737541.,  5083845.,  1, 51,      0.000E+00
   737541.,  5083895.,  1, 52,      0.000E+00
   737541.,  5083945.,  1, 53,      0.000E+00
   737541.,  5083995.,  1, 54,      0.000E+00
   737541.,  5084045.,  1, 55,      0.000E+00
   737541.,  5084095.,  1, 56,      0.000E+00
   737541.,  5084145.,  1, 57,      0.000E+00
   737541.,  5084195.,  1, 58,      0.000E+00
   737541.,  5084245.,  1, 59,      0.000E+00
   737541.,  5084295.,  1, 60,      0.000E+00
   737541.,  5084345.,  1, 61,      0.000E+00
   737541.,  5084395.,  1, 62,      0.000E+00
   737541.,  5084445.,  1, 63,      0.000E+00
   737541.,  5084495.,  1, 64,      0.000E+00
   737541.,  5084545.,  1, 65,      0.000E+00
   737541.,  5084595.,  1, 66,      0.000E+00
   737541.,  5084645.,  1, 67,      0.000E+00
   737541.,  5084695.,  1, 68,      0.000E+00
   737541.,  5084745.,  1, 69,      0.000E+00
   737541.,  5084795.,  1, 70,      0.000E+00
   737541.,  5084845.,  1, 71,      0.000E+00
   737541.,  5084895.,  1, 72,      0.000E+00
   737541.,  5084945.,  1, 73,      0.000E+00
   737541.,  5084995.,  1, 74,      0.000E+00
   737541.,  5085045.,  1, 75,      0.000E+00
   737541.,  5085095.,  1, 76,      0.000E+00
   737541.,  5085145.,  1, 77,      0.000E+00
   737541.,  5085195.,  1, 78,      0.000E+00
   737541.,  5085245.,  1, 79,      0.000E+00
   737541.,  5085295.,  1, 80,      0.000E+00
   737541.,  5085345.,  1, 81,      0.000E+00
   737541.,  5085395.,  1, 82,      0.000E+00
   737541.,  5085445.,  1, 83,      0.000E+00
   737541.,  5085495.,  1, 84,      0.000E+00
   737541.,  5085545.,  1, 85,      0.000E+00
   737541.,  5085595.,  1, 86,      0.000E+00
   737541.,  5085645.,  1, 87,      0.000E+00
   737541.,  5085695.,  1, 88,      0.000E+00
   737541.,  5085745.,  1, 89,      0.000E+00
   737541.,  5085795.,  1, 90,      0.000E+00
   737541.,  5085845.,  1, 91,      0.000E+00
   737541.,  5085895.,  1, 92,      0.000E+00
   737541.,  5085945.,  1, 93,      0.000E+00
   737541.,  5085995.,  1, 94,      0.000E+00
   737541.,  5086045.,  1, 95,      0.000E+00
   737541.,  5086095.,  1, 96,      0.000E+00
   737541.,  5086145.,  1, 97,      0.000E+00
   737541.,  5086195.,  1, 98,      0.000E+00
   737541.,  5086245.,  1, 99,      0.000E+00
   737541.,  5086295.,  1,100,      0.000E+00
   737591.,  5081345.,  2,  1,      0.000E+00
   737591.,  5081395.,  2,  2,      0.000E+00
   737591.,  5081445.,  2,  3,      0.000E+00
   737591.,  5081495.,  2,  4,      0.000E+00
   737591.,  5081545.,  2,  5,      0.000E+00
   737591.,  5081595.,  2,  6,      0.000E+00
   737591.,  5081645.,  2,  7,      0.000E+00
   737591.,  5081695.,  2,  8,      0.000E+00
   737591.,  5081745.,  2,  9,      0.000E+00
   737591.,  5081795.,  2, 10,      0.000E+00
   737591.,  5081845.,  2, 11,      0.000E+00
   737591.,  5081895.,  2, 12,      0.000E+00
   737591.,  5081945.,  2, 13,      0.000E+00
   737591.,  5081995.,  2, 14,      0.000E+00
   737591.,  5082045.,  2, 15,      0.000E+00
   737591.,  5082095.,  2, 16,      0.000E+00
   737591.,  5082145.,  2, 17,      0.000E+00
   737591.,  5082195.,  2, 18,      0.000E+00
   737591.,  5082245.,  2, 19,      0.000E+00
   737591.,  5082295.,  2, 20,      0.000E+00
   737591.,  5082345.,  2, 21,      0.000E+00
   737591.,  5082395.,  2, 22,      0.000E+00
